,param_n_estimators,param_learning_rate,param_loss,param_criterion,param_max_depth,mean_test_r2,mean_test_neg_mean_squared_error
40,7,0.5,squared_error,squared_error,10,0.9247112877824947,-0.002229845451001037
41,10,0.5,squared_error,squared_error,10,0.9238793310271269,-0.0022215009734463274
42,14,0.5,squared_error,squared_error,10,0.9248770182463201,-0.0022046233992268427
43,16,0.5,squared_error,squared_error,10,0.9252492541344065,-0.0021968878449220392
44,7,0.5,squared_error,squared_error,12,0.9231607228404016,-0.0021829161023415645
45,10,0.5,squared_error,squared_error,12,0.9243946979773205,-0.0021386182359989874
46,14,0.5,squared_error,squared_error,12,0.9209363885411241,-0.0022025655564735735
47,16,0.5,squared_error,squared_error,12,0.9215104254922147,-0.0021894348048164787
48,7,0.5,absolute_error,squared_error,6,0.9012538696524437,-0.002818335368135658
49,10,0.5,absolute_error,squared_error,6,0.8971045698796363,-0.0032362458143703225
50,14,0.5,absolute_error,squared_error,6,0.9225453880799229,-0.0021790609373527467
51,16,0.5,absolute_error,squared_error,6,0.9078681965074693,-0.0030150901378563364
52,7,0.5,absolute_error,squared_error,8,0.908261603199618,-0.002631789740418515
53,10,0.5,absolute_error,squared_error,8,0.899487491400173,-0.003310818854940076
54,14,0.5,absolute_error,squared_error,8,0.9245266326163037,-0.0021335142542073396
55,16,0.5,absolute_error,squared_error,8,0.9269303898565168,-0.0021091125731616915
56,7,0.5,absolute_error,squared_error,10,0.8828880963277241,-0.003914265306662679
57,10,0.5,absolute_error,squared_error,10,0.8958460008673945,-0.003517579763531423
58,14,0.5,absolute_error,squared_error,10,0.9008368228977899,-0.0032608433597792726
59,16,0.5,absolute_error,squared_error,10,0.9215035126288911,-0.0023040028596554357
60,7,0.5,absolute_error,squared_error,12,0.8859873201794454,-0.0038610712919454502
61,10,0.5,absolute_error,squared_error,12,0.8988453684962938,-0.003429923207765954
62,14,0.5,absolute_error,squared_error,12,0.9267479281674833,-0.0021203257385020565
63,16,0.5,absolute_error,squared_error,12,0.9005407310921827,-0.0033340294193968277
64,7,0.7,squared_error,squared_error,6,0.9232787861869829,-0.0020635886173746656
65,10,0.7,squared_error,squared_error,6,0.9241666510387873,-0.0020163181828713114
66,14,0.7,squared_error,squared_error,6,0.9228595769639225,-0.0020619991388341795
67,16,0.7,squared_error,squared_error,6,0.9249569618173334,-0.0020261527200757883
68,7,0.7,squared_error,squared_error,8,0.9272240382758365,-0.002059235824893563
69,10,0.7,squared_error,squared_error,8,0.9270931882574149,-0.0020721436724145423
70,14,0.7,squared_error,squared_error,8,0.9244144610979704,-0.0021212314737839638
71,16,0.7,squared_error,squared_error,8,0.9280037368774563,-0.002092369593388193
72,7,0.7,squared_error,squared_error,10,0.9267103822617724,-0.002180369151344923
73,10,0.7,squared_error,squared_error,10,0.9250013538395692,-0.0022078974663801336
74,14,0.7,squared_error,squared_error,10,0.925381357445802,-0.0022251281128583757
75,16,0.7,squared_error,squared_error,10,0.9257471269611619,-0.0021956162425712236
76,7,0.7,squared_error,squared_error,12,0.9194151105218153,-0.0022733420659761397
77,10,0.7,squared_error,squared_error,12,0.9219317170099071,-0.002216947504041971
78,14,0.7,squared_error,squared_error,12,0.9222002595024039,-0.002201094848425505
79,16,0.7,squared_error,squared_error,12,0.9218375051584887,-0.002212513225702219
80,7,0.7,absolute_error,squared_error,6,0.9111453682647893,-0.002432608744476271
81,10,0.7,absolute_error,squared_error,6,0.9278690918580823,-0.0020855666584270413
82,14,0.7,absolute_error,squared_error,6,0.9309539171543062,-0.0020384491728975937
83,16,0.7,absolute_error,squared_error,6,0.9344953136355401,-0.0019323591333783939
84,7,0.7,absolute_error,squared_error,8,0.9295052577866721,-0.0021206992331806417
85,10,0.7,absolute_error,squared_error,8,0.9324265377934697,-0.002049507007472967
86,14,0.7,absolute_error,squared_error,8,0.929000068852489,-0.0021691716842113995
87,16,0.7,absolute_error,squared_error,8,0.9365487904637716,-0.0019334014305906096
88,7,0.7,absolute_error,squared_error,10,0.9338861162197165,-0.0020217536929011217
89,10,0.7,absolute_error,squared_error,10,0.9328370948478479,-0.002045603212819983
90,14,0.7,absolute_error,squared_error,10,0.932470806931466,-0.0020833628593424245
91,16,0.7,absolute_error,squared_error,10,0.9371348514768971,-0.0018479296344793255
92,7,0.7,absolute_error,squared_error,12,0.9336085338104352,-0.0019869304826334823
93,10,0.7,absolute_error,squared_error,12,0.9372582487348173,-0.0018554383160796343
94,14,0.7,absolute_error,squared_error,12,0.9336264493057364,-0.002008973173349933
95,16,0.7,absolute_error,squared_error,12,0.9308241018205068,-0.0020479748895028704
96,7,0.3,squared_error,friedman_mse,6,0.9174858141989205,-0.002497567658469952
97,10,0.3,squared_error,friedman_mse,6,0.9284925923050882,-0.0021492634183388356
98,14,0.3,squared_error,friedman_mse,6,0.9313778779847526,-0.002015906558526157
99,16,0.3,squared_error,friedman_mse,6,0.9325665715345997,-0.0019697358967419344
100,7,0.3,squared_error,friedman_mse,8,0.9135929014977184,-0.0026798877634184003
101,10,0.3,squared_error,friedman_mse,8,0.924456309809434,-0.0022922272738980184
102,14,0.3,squared_error,friedman_mse,8,0.9262631651710962,-0.0021884456813906577
103,16,0.3,squared_error,friedman_mse,8,0.9252849508879164,-0.0022205351223928372
104,7,0.3,squared_error,friedman_mse,10,0.9130140285520492,-0.0027565474835921137
