DEPTH,CALI,DRHO,NPHI,PEF,RT,KLOGH,PHIF,VSH
3367.4,8.453,0.046,0.248,5.701,2.37,0.001,0.073,0.707
3367.5,8.526,0.049,0.236,5.824,2.423,0.001,0.071,0.705
3367.6,8.578,0.053,0.228,6.088,2.44,0.001,0.067,0.71
3367.7,8.578,0.055,0.22,6.37,2.521,0.001,0.061,0.721
3367.8,8.578,0.055,0.214,6.591,2.599,0.001,0.053,0.702
3367.9,8.578,0.053,0.212,6.708,2.803,0.001,0.045,0.692
3368,8.578,0.052,0.216,6.741,2.821,0.001,0.04,0.733
3368.1,8.578,0.054,0.223,6.698,2.579,0.001,0.036,0.75
3368.2,8.578,0.06,0.229,6.604,2.405,0.001,0.034,0.734
3368.3,8.578,0.065,0.233,6.501,2.374,0.001,0.035,0.711
3368.4,8.578,0.066,0.235,6.427,2.351,0.001,0.039,0.697
3368.5,8.578,0.064,0.238,6.402,2.35,0.001,0.047,0.699
3368.6,8.578,0.059,0.244,6.424,2.331,0.001,0.055,0.697
3368.7,8.578,0.056,0.251,6.474,2.325,0.001,0.06,0.697
3368.8,8.578,0.057,0.258,6.526,2.292,0.001,0.061,0.694
3368.9,8.578,0.06,0.264,6.565,2.291,0.001,0.06,0.725
3369,8.578,0.064,0.268,6.601,2.239,0.001,0.059,0.723
3369.1,8.578,0.065,0.269,6.636,2.194,0.001,0.061,0.698
3369.2,8.578,0.064,0.27,6.65,2.172,0.001,0.065,0.71
3369.3,8.594,0.06,0.268,6.631,2.126,0.001,0.07,0.711
3369.4,8.625,0.057,0.267,6.58,2.18,0.001,0.072,0.722
3369.5,8.578,0.055,0.266,6.52,2.194,0.001,0.072,0.746
3369.6,8.578,0.054,0.259,6.485,2.231,0.001,0.069,0.745
3369.7,8.594,0.054,0.248,6.492,2.271,0.001,0.067,0.764
3369.8,8.594,0.055,0.244,6.531,2.374,0.001,0.064,0.795
3369.9,8.578,0.056,0.241,6.55,2.429,0.001,0.061,0.792
3370,8.578,0.056,0.242,6.527,2.511,0.001,0.059,0.772
