DEPTH,CALI,DRHO,NPHI,PEF,RT,KLOGH,PHIF,VSH
4470.7,8.672,0.059,0.164,5.421,0.434,137.654,0.198,0.161
4470.8,8.672,0.053,0.164,5.504,0.483,103.643,0.196,0.173
4470.9,8.672,0.048,0.165,5.592,0.482,73.484,0.192,0.186
4471,8.672,0.048,0.167,5.64,0.475,55.423,0.185,0.193
4471.1,8.693,0.054,0.169,5.632,0.469,35.23,0.176,0.207
4471.2,8.687,0.063,0.177,5.581,0.443,28.403,0.171,0.212
4471.3,8.672,0.07,0.183,5.516,0.399,26.657,0.171,0.216
4471.4,8.672,0.071,0.191,5.465,0.355,42.813,0.177,0.198
4471.5,8.648,0.069,0.2,5.437,0.345,54.939,0.186,0.194
4471.6,8.625,0.065,0.203,5.425,0.345,58.489,0.193,0.198
4471.7,8.625,0.062,0.205,5.414,0.336,69.517,0.199,0.194
4471.8,8.641,0.059,0.204,5.39,0.325,83.2,0.203,0.189
4471.9,8.672,0.057,0.2,5.367,0.315,105.079,0.207,0.182
4472,8.672,0.055,0.198,5.371,0.292,115.101,0.211,0.181
4472.1,8.672,0.054,0.197,5.416,0.282,118.247,0.213,0.181
4472.2,8.672,0.054,0.195,5.487,0.303,115.155,0.212,0.182
4472.3,8.672,0.054,0.193,5.564,0.375,114.534,0.209,0.179
4472.4,8.672,0.052,0.19,5.651,0.465,98.507,0.203,0.181
4472.5,8.682,0.051,0.183,5.745,0.499,77.547,0.193,0.184
4472.6,8.672,0.052,0.182,5.814,0.527,59.887,0.18,0.185
4472.7,8.672,0.054,0.179,5.822,0.561,40.731,0.169,0.194
4472.8,8.672,0.056,0.178,5.779,0.558,22.032,0.163,0.218
4472.9,8.672,0.057,0.177,5.732,0.549,14.993,0.161,0.235
4473,8.672,0.059,0.177,5.7,0.543,14.958,0.163,0.237
4473.1,8.672,0.063,0.179,5.655,0.516,18.244,0.167,0.23
4473.2,8.672,0.067,0.182,5.571,0.458,22.146,0.172,0.226
4473.3,8.672,0.069,0.186,5.468,0.445,35.36,0.181,0.211
4473.4,8.672,0.069,0.19,5.392,0.441,60.987,0.192,0.195
4473.5,8.672,0.067,0.192,5.36,0.438,81.788,0.203,0.19
4473.6,8.672,0.063,0.193,5.347,0.433,123.89,0.211,0.178
4473.7,8.672,0.06,0.193,5.33,0.422,168.211,0.216,0.167
4473.8,8.672,0.057,0.193,5.318,0.358,175.363,0.219,0.167
4473.9,8.672,0.054,0.192,5.34,0.321,168.871,0.219,0.17
4474,8.672,0.051,0.188,5.418,0.39,186.223,0.218,0.164
4474.1,8.688,0.048,0.181,5.519,0.427,164.183,0.215,0.167
4474.2,8.703,0.05,0.177,5.585,0.443,132.242,0.208,0.172
4474.3,8.687,0.055,0.179,5.574,0.45,127.561,0.202,0.168
4474.4,8.682,0.061,0.184,5.501,0.461,114.742,0.2,0.171
4474.5,8.672,0.063,0.192,5.422,0.46,130.123,0.203,0.168
4474.6,8.648,0.061,0.199,5.388,0.428,143.44,0.208,0.167
4474.7,8.672,0.058,0.2,5.407,0.373,140.166,0.211,0.171
4474.8,8.672,0.057,0.2,5.456,0.288,123.414,0.211,0.177
4474.9,8.672,0.057,0.2,5.499,0.276,111.641,0.209,0.18
4475,8.672,0.057,0.199,5.528,0.273,141.316,0.208,0.168
4475.1,8.703,0.057,0.197,5.541,0.274,156.376,0.207,0.163
4475.2,8.682,0.057,0.197,5.538,0.282,141.78,0.208,0.168
4475.3,8.672,0.058,0.195,5.515,0.293,108.322,0.207,0.181
4475.4,8.672,0.059,0.194,5.464,0.298,105.991,0.207,0.181
4475.5,8.672,0.06,0.192,5.389,0.296,90.668,0.206,0.188
4475.6,8.672,0.059,0.19,5.32,0.299,95.098,0.206,0.186
4475.7,8.648,0.058,0.191,5.288,0.312,101.948,0.207,0.183
4475.8,8.625,0.057,0.191,5.303,0.323,110.141,0.208,0.18
4475.9,8.672,0.057,0.188,5.335,0.327,132.441,0.209,0.172
4476,8.672,0.056,0.186,5.353,0.321,118.827,0.208,0.177
4476.1,8.672,0.056,0.183,5.349,0.318,108.306,0.207,0.18
4476.2,8.672,0.055,0.18,5.34,0.324,107.989,0.204,0.178
4476.3,8.693,0.054,0.175,5.334,0.336,122.229,0.201,0.169
4476.4,8.687,0.052,0.174,5.329,0.351,115.097,0.199,0.17
4476.5,8.672,0.047,0.17,5.317,0.373,122.362,0.197,0.165
4476.6,8.672,0.043,0.166,5.309,0.411,155.038,0.194,0.151
4476.7,8.672,0.041,0.16,5.31,0.454,151.516,0.187,0.147
4476.8,8.672,0.045,0.151,5.311,0.51,153.628,0.177,0.137
4476.9,8.672,0.054,0.142,5.292,0.51,156.243,0.167,0.127
4477,8.672,0.062,0.139,5.244,0.47,187.733,0.161,0.113
4477.1,8.672,0.067,0.143,5.186,0.434,219.507,0.163,0.107
4477.2,8.672,0.066,0.15,5.153,0.385,299.445,0.171,0.099
4477.3,8.672,0.063,0.155,5.163,0.344,335.59,0.179,0.101
4477.4,8.672,0.059,0.157,5.204,0.332,358.792,0.186,0.104
4477.5,8.672,0.056,0.156,5.246,0.336,401.668,0.19,0.102
4477.6,8.672,0.054,0.156,5.283,0.343,378.526,0.191,0.106
4477.7,8.672,0.054,0.156,5.32,0.348,403.375,0.19,0.102
4477.8,8.672,0.055,0.157,5.366,0.345,397.876,0.188,0.1
4477.9,8.672,0.058,0.158,5.417,0.346,348.487,0.185,0.105
4478,8.672,0.06,0.159,5.446,0.349,338.036,0.184,0.105
4478.1,8.672,0.062,0.16,5.436,0.344,404.928,0.186,0.097
4478.2,8.672,0.061,0.16,5.384,0.331,461.988,0.189,0.094
4478.3,8.672,0.06,0.159,5.311,0.323,479.635,0.192,0.095
4478.4,8.672,0.058,0.156,5.25,0.317,490.375,0.195,0.096
4478.5,8.672,0.055,0.152,5.224,0.319,510.255,0.196,0.096
4478.6,8.672,0.053,0.146,5.229,0.33,521.035,0.193,0.092
4478.7,8.672,0.054,0.14,5.225,0.359,455.5,0.186,0.092
4478.8,8.672,0.056,0.135,5.211,0.381,398.279,0.181,0.094
4478.9,8.672,0.058,0.134,5.197,0.377,354.442,0.177,0.097
4479,8.672,0.06,0.135,5.188,0.357,302.078,0.176,0.103
4479.1,8.672,0.062,0.14,5.194,0.329,292.452,0.175,0.104
4479.2,8.672,0.064,0.147,5.219,0.302,287.468,0.176,0.105
4479.3,8.672,0.066,0.154,5.264,0.301,312.665,0.179,0.104
4479.4,8.693,0.066,0.154,5.309,0.312,338.975,0.183,0.104
4479.5,8.687,0.064,0.156,5.334,0.314,439.187,0.189,0.096
4479.6,8.672,0.061,0.155,5.339,0.309,505.245,0.193,0.094
4479.7,8.672,0.059,0.154,5.315,0.328,544.104,0.194,0.091
4479.8,8.672,0.058,0.153,5.281,0.344,508.374,0.19,0.091
4479.9,8.672,0.06,0.152,5.262,0.345,483.019,0.185,0.088
4480,8.672,0.065,0.15,5.262,0.341,464.856,0.181,0.086
4480.1,8.672,0.07,0.149,5.272,0.333,423.232,0.18,0.091
4480.2,8.672,0.071,0.148,5.272,0.314,475.246,0.185,0.089
4480.3,8.672,0.07,0.15,5.257,0.298,538.973,0.191,0.088
4480.4,8.672,0.066,0.155,5.233,0.285,626.134,0.195,0.085
4480.5,8.648,0.062,0.163,5.203,0.309,645.629,0.198,0.086
4480.6,8.672,0.059,0.161,5.176,0.335,571.667,0.199,0.093
4480.7,8.672,0.054,0.16,5.158,0.342,545.27,0.199,0.095
4480.8,8.66,0.051,0.159,5.154,0.346,488.979,0.198,0.099
4480.9,8.672,0.05,0.154,5.169,0.366,445.5,0.195,0.101
4481,8.678,0.053,0.154,5.199,0.36,360.814,0.19,0.107
4481.1,8.672,0.058,0.155,5.24,0.334,304.502,0.187,0.112
4481.2,8.672,0.059,0.154,5.278,0.312,289.307,0.186,0.114
4481.3,8.672,0.053,0.151,5.31,0.349,371.187,0.189,0.105
4481.4,8.672,0.043,0.147,5.355,0.376,405.459,0.191,0.102
4481.5,8.672,0.036,0.145,5.415,0.378,497.894,0.189,0.09
4481.6,8.672,0.036,0.142,5.478,0.368,470.608,0.183,0.088
4481.7,8.672,0.042,0.141,5.529,0.387,408.231,0.174,0.087
4481.8,8.672,0.052,0.138,5.567,0.404,306.656,0.164,0.092
4481.9,8.697,0.059,0.131,5.607,0.493,225.172,0.156,0.099
4482,8.703,0.055,0.119,5.699,0.832,242.691,0.153,0.093
4482.1,8.68,0.043,0.108,5.877,1.579,259.504,0.149,0.087
4482.2,8.703,0.035,0.099,6.1,1.874,217.285,0.139,0.086
4482.3,8.75,0.043,0.097,6.285,1.21,152.715,0.123,0.089
4482.4,8.75,0.067,0.105,6.327,0.67,96.782,0.106,0.096
4482.5,8.75,0.095,0.116,6.203,0.395,72.794,0.099,0.103
4482.6,8.75,0.111,0.12,5.99,0.35,72.561,0.103,0.107
