,param_max_depth,param_early_stopping_rounds,param_n_estimators,param_learning_rate,param_tree_method,mean_test_r2,mean_test_neg_mean_squared_error
74,8,3,300,0.01,exact,0.9070941187372714,-0.0023066227996047703
75,8,3,300,0.01,approx,0.9105215344432611,-0.002210097540909583
76,8,3,400,0.01,exact,0.9104766877490524,-0.002117249036727738
77,8,3,400,0.01,approx,0.9137428161309054,-0.0020256441788548737
78,8,3,500,0.01,exact,0.9113027090503925,-0.002061375464391515
79,8,3,500,0.01,approx,0.9144220422042201,-0.001977788511145631
80,10,3,200,0.01,exact,0.8839042572152568,-0.0031550960133602756
81,10,3,200,0.01,approx,0.8869138200404546,-0.003018498574872157
82,10,3,300,0.01,exact,0.9051039965224911,-0.002445214351406956
83,10,3,300,0.01,approx,0.9078020593869999,-0.002303371419913953
84,10,3,400,0.01,exact,0.9080709379843398,-0.002293222127277658
85,10,3,400,0.01,approx,0.910287252881983,-0.0021635153361415937
86,10,3,500,0.01,exact,0.9082740727052107,-0.0022563399071767955
87,10,3,500,0.01,approx,0.9106885355069749,-0.002114695638701655
88,12,3,200,0.01,exact,0.8829669105928003,-0.00320342624532191
89,12,3,200,0.01,approx,0.8864970667711226,-0.003034400215525218
90,12,3,300,0.01,exact,0.9027609864959973,-0.002577557104898213
91,12,3,300,0.01,approx,0.905894531943994,-0.002427186880234713
92,12,3,400,0.01,exact,0.9039861187688067,-0.0024883239962041025
93,12,3,400,0.01,approx,0.9075861130095145,-0.002298098447339325
94,12,3,500,0.01,exact,0.9043358800066569,-0.0024485605521748196
95,12,3,500,0.01,approx,0.9079390227750501,-0.0022378299089552845
96,6,5,200,0.001,exact,0.0010735929269808041,-0.02306153059188516
97,6,5,200,0.001,approx,0.0012127658630474935,-0.02304455077790405
98,6,5,300,0.001,exact,0.16311156522141532,-0.019598034663826914
99,6,5,300,0.001,approx,0.16338972603513283,-0.019575344788693494
100,6,5,400,0.001,exact,0.29635833451304877,-0.01672476353510904
101,6,5,400,0.001,approx,0.29674426435633244,-0.016703026641860803
102,6,5,500,0.001,exact,0.4055752373066065,-0.014339475852103708
103,6,5,500,0.001,approx,0.4062545173341956,-0.01431306652057553
104,8,5,200,0.001,exact,0.004968418433933352,-0.022972120735766103
105,8,5,200,0.001,approx,0.0050837925703951185,-0.022965883679837647
106,8,5,300,0.001,exact,0.16867308691745583,-0.01947260901295184
107,8,5,300,0.001,approx,0.16875976652021873,-0.019463501028742017
108,8,5,400,0.001,exact,0.30238765097220544,-0.01658344341545978
109,8,5,400,0.001,approx,0.3030393706595397,-0.016565232574329097
110,8,5,500,0.001,exact,0.4116665432309602,-0.014193544401802049
111,8,5,500,0.001,approx,0.4127913955198318,-0.014169006811484825
112,10,5,200,0.001,exact,0.005473052523505528,-0.022962478687655972
113,10,5,200,0.001,approx,0.005498940275425646,-0.022958322027438707
114,10,5,300,0.001,exact,0.1692062114749016,-0.019462556145038206
115,10,5,300,0.001,approx,0.16916368734995374,-0.01945578438456991
116,10,5,400,0.001,exact,0.30318414303049346,-0.016569336316361233
117,10,5,400,0.001,approx,0.3033034181824364,-0.016559252056124754
118,10,5,500,0.001,exact,0.4126620636749367,-0.014177328532201943
119,10,5,500,0.001,approx,0.41296182784217195,-0.014164521606566598
120,12,5,200,0.001,exact,0.0054348989763590375,-0.02296301007235329
121,12,5,200,0.001,approx,0.00550076494508841,-0.02295826551082402
122,12,5,300,0.001,exact,0.16913068343342902,-0.019463544141956887
123,12,5,300,0.001,approx,0.16916285043395862,-0.0194557294270609
124,12,5,400,0.001,exact,0.3032350366791835,-0.016568885857308823
125,12,5,400,0.001,approx,0.30329078039298163,-0.016559447677122873
126,12,5,500,0.001,exact,0.4127315766046989,-0.014176756666273268
127,12,5,500,0.001,approx,0.41295619876928064,-0.014164745232630093
128,6,5,200,0.05,exact,0.9132715042993613,-0.0020061226596687753
129,6,5,200,0.05,approx,0.9137584614939686,-0.0019504534274379583
130,6,5,300,0.05,exact,0.913816981748921,-0.0020006907979153955
131,6,5,300,0.05,approx,0.9138621261542615,-0.0019486102214844405
132,6,5,400,0.05,exact,0.9139194287418217,-0.0020001241916960096
133,6,5,400,0.05,approx,0.9138788371140386,-0.001948142950320797
134,6,5,500,0.05,exact,0.9139590832887668,-0.0019995957205691745
135,6,5,500,0.05,approx,0.9139526568777517,-0.0019468776333165998
136,8,5,200,0.05,exact,0.9104221030694845,-0.0020616400915437175
137,8,5,200,0.05,approx,0.912885842305883,-0.001957715583012092
138,8,5,300,0.05,exact,0.9104541082306993,-0.0020612068582667557
139,8,5,300,0.05,approx,0.91288188316468,-0.0019577343412187725
140,8,5,400,0.05,exact,0.910681972370876,-0.002058452960969321
141,8,5,400,0.05,approx,0.9128784096855689,-0.0019578177916283147
142,8,5,500,0.05,exact,0.9106949527868501,-0.002058271985951185
143,8,5,500,0.05,approx,0.912879986396165,-0.0019577960204136416
144,10,5,200,0.05,exact,0.9057685203577803,-0.0022370996415729282
145,10,5,200,0.05,approx,0.9107033502361459,-0.0020787454377269917
146,10,5,300,0.05,exact,0.9058399184107587,-0.002236342484084447
147,10,5,300,0.05,approx,0.9107034899554952,-0.002078724696783457
148,10,5,400,0.05,exact,0.9058399184107587,-0.002236342484084447
149,10,5,400,0.05,approx,0.9107034899554952,-0.002078724696783457
150,10,5,500,0.05,exact,0.9058399184107587,-0.002236342484084447
151,10,5,500,0.05,approx,0.9107034899554952,-0.002078724696783457
152,12,5,200,0.05,exact,0.9059544261567529,-0.002371789931008252
153,12,5,200,0.05,approx,0.9085726957925043,-0.0021948863810869524
154,12,5,300,0.05,exact,0.9059597377310183,-0.002371708326312792
155,12,5,300,0.05,approx,0.9085752371851354,-0.002194858081095899
156,12,5,400,0.05,exact,0.9059597377310183,-0.002371708326312792
157,12,5,400,0.05,approx,0.9085752371851354,-0.002194858081095899
158,12,5,500,0.05,exact,0.9059597377310183,-0.002371708326312792
159,12,5,500,0.05,approx,0.9085752371851354,-0.002194858081095899
160,6,5,200,0.01,exact,0.8838773161179084,-0.00306154119352916
161,6,5,200,0.01,approx,0.885727914157853,-0.003008864824797561
162,6,5,300,0.01,exact,0.9068815303617038,-0.002265983883106261
163,6,5,300,0.01,approx,0.9082463154494468,-0.002245002462120117
164,6,5,400,0.01,exact,0.9106033233183755,-0.002086415479040183
165,6,5,400,0.01,approx,0.9115632207472928,-0.0020512780801386432
166,6,5,500,0.01,exact,0.9116235628530983,-0.002017085053430315
167,6,5,500,0.01,approx,0.912200254333958,-0.0019997696372582837
168,8,5,200,0.01,exact,0.8857938696033012,-0.0030551991873979446
169,8,5,200,0.01,approx,0.8884142056282206,-0.002979522023242672
170,8,5,300,0.01,exact,0.9070941187372714,-0.0023066227996047703
171,8,5,300,0.01,approx,0.9105215344432611,-0.002210097540909583
172,8,5,400,0.01,exact,0.9104766877490524,-0.002117249036727738
173,8,5,400,0.01,approx,0.9137428161309054,-0.0020256441788548737
174,8,5,500,0.01,exact,0.9113027090503925,-0.002061375464391515
175,8,5,500,0.01,approx,0.9144220422042201,-0.001977788511145631
176,10,5,200,0.01,exact,0.8839042572152568,-0.0031550960133602756
